Numéro;Référence;Titre;Nom;Prénom;Civilité;Circonscription;Groupe;Type Appartenance;Date de publication JO;Ministère de dépôt;Ministère de réponse;Thème(s);URL Question
0242G;SEQ18030242G;Prostitution des adolescentes;Mélot;Colette;Mme;Seine-et-Marne;Les Indépendants;;2018-03-09;Égalité femmes hommes;Égalité femmes hommes;Justice,Famille;http://www.senat.fr/questions/base/2018/qSEQ18030242G.html
0243G;SEQ18030243G;Droits des femmes;Boulay-Espéronnier;Céline;Mme;Paris;Les Républicains;-R;2018-03-09;Égalité femmes hommes;Travail;Famille,Travail;http://www.senat.fr/questions/base/2018/qSEQ18030243G.html
0244G;SEQ18030244G;Conditions de détention des femmes;Guidez;Jocelyne;Mme;Essonne;UC;;2018-03-09;Justice;Justice;Famille,Justice;http://www.senat.fr/questions/base/2018/qSEQ18030244G.html
0245G;SEQ18030245G;Mercosur et veto climatique;Dantec;Ronan;M.;Loire-Atlantique;RDSE;-R;2018-03-09;Transition écologique et solidaire;Transition écologique et solidaire;Environnement,Traités et conventions,Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030245G.html
0246G;SEQ18030246G;Formation professionnelle;Daudigny;Yves;M.;Aisne;SOCR;;2018-03-09;Travail;Travail;Travail,Éducation;http://www.senat.fr/questions/base/2018/qSEQ18030246G.html
0247G;SEQ18030247G;Représentation proportionnelle;Brisson;Max;M.;Pyrénées-Atlantiques;Les Républicains;;2018-03-09;Premier ministre;Premier ministre;Pouvoirs publics et Constitution;http://www.senat.fr/questions/base/2018/qSEQ18030247G.html
0248G;SEQ18030248G;Psychiatrie en France;Lassarade;Florence;Mme;Gironde;Les Républicains;;2018-03-09;Solidarités et santé;Relations avec le Parlement;Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18030248G.html
0249G;SEQ18030249G;Agence pour l'enseignement français à l'étranger;Le Gleut;Ronan;M.;Français établis hors de France;Les Républicains;-R;2018-03-09;Europe et affaires étrangères;Affaires européennes;Budget,Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030249G.html
0250G;SEQ18030250G;Situation à Mayotte;Mohamed Soilihi;Thani;M.;Mayotte;LaREM;;2018-03-09;Premier ministre;Premier ministre;Police et sécurité,Outre-mer;http://www.senat.fr/questions/base/2018/qSEQ18030250G.html
0251G;SEQ18030251G;Réforme de la formation professionnelle;Lévrier;Martin;M.;Yvelines;LaREM;;2018-03-14;Travail;Travail;Travail;http://www.senat.fr/questions/base/2018/qSEQ18030251G.html
0252G;SEQ18030252G;Sommet franco-luxembourgeois;Guillotin;Véronique;Mme;Meurthe-et-Moselle;RDSE;;2018-03-14;Premier ministre;Europe et affaires étrangères;Affaires étrangères et coopération,Économie et finances, fiscalité;http://www.senat.fr/questions/base/2018/qSEQ18030252G.html
0253G;SEQ18030253G;Situation à Afrine;Laurent;Pierre;M.;Paris;CRCE;;2018-03-14;Premier ministre;Europe et affaires étrangères;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030253G.html
0254G;SEQ18030254G;Situation à Afrine, en Syrie ;Féraud;Rémi;M.;Paris;SOCR;;2018-03-14;Premier ministre;Europe et affaires étrangères;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030254G.html
0255G;SEQ18030255G;Nomination du secrétaire général de la Commission européenne;Malhuret;Claude;M.;Allier;Les Indépendants;;2018-03-14;Premier ministre;Europe et affaires étrangères;Union européenne,Pouvoirs publics et Constitution;http://www.senat.fr/questions/base/2018/qSEQ18030255G.html
0256G;SEQ18030256G;Situation à Mayotte;Rapin;Jean-François;M.;Pas-de-Calais;Les Républicains;;2018-03-14;Premier ministre;Premier ministre;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030256G.html
0257G;SEQ18030257G;Mesures protectionnistes américaines ;Laugier;Michel;M.;Yvelines;UC;-A;2018-03-14;Premier ministre;Europe et affaires étrangères;Économie et finances, fiscalité,Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030257G.html
0258G;SEQ18030258G;Mesures protectionnistes américaines ;Yung;Richard;M.;Français établis hors de France;LaREM;;2018-03-14;Premier ministre;Europe et affaires étrangères;Économie et finances, fiscalité,Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030258G.html
0259G;SEQ18030259G;Privatisation d'Aéroports de Paris;Bazin;Arnaud;M.;Val-d'Oise;Les Républicains;;2018-03-14;Premier ministre;Action et comptes publics (M. le SE auprès du ministre);Entreprises,Transports;http://www.senat.fr/questions/base/2018/qSEQ18030259G.html
0260G;SEQ18030260G;Maladies rares;Renaud-Garabedian;Évelyne;Mme;Français établis hors de France;Les Républicains;-R;2018-03-14;Solidarités et santé;Solidarités et santé;Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18030260G.html
0261G;SEQ18030261G;Concessions hydroélectriques;Courteau;Roland;M.;Aude;SOCR;;2018-03-14;Transition écologique et solidaire;Transition écologique et solidaire;Environnement,Énergie;http://www.senat.fr/questions/base/2018/qSEQ18030261G.html
0262G;SEQ18030262G;Laïcité et totalitarisme islamiste;Laborde;Françoise;Mme;Haute-Garonne;RDSE;;2018-03-21;Intérieur;Premier ministre;Société,Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18030262G.html
0263G;SEQ18030263G;Renforcement du contrôle et des sanctions des chômeurs;Savoldelli;Pascal;M.;Val-de-Marne;CRCE;;2018-03-21;Premier ministre;Travail;Travail;http://www.senat.fr/questions/base/2018/qSEQ18030263G.html
0264G;SEQ18030264G;Manifestations - climat social;Temal;Rachid;M.;Val-d'Oise;SOCR;;2018-03-21;Premier ministre;Premier ministre;Travail;http://www.senat.fr/questions/base/2018/qSEQ18030264G.html
0265G;SEQ18030265G;Responsabilité des acteurs privés dans la lutte contre la précarité énergétique;Decool;Jean-Pierre;M.;Nord;Les Indépendants;-A;2018-03-21;Transition écologique et solidaire;Relations avec le Parlement;Énergie;http://www.senat.fr/questions/base/2018/qSEQ18030265G.html
0266G;SEQ18030266G;Situation des Kurdes;Reichardt;André;M.;Bas-Rhin;Les Républicains;;2018-03-21;Europe et affaires étrangères;Affaires européennes;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030266G.html
0267G;SEQ18030267G;Avenir de l'usine Ford de Blanquefort;Cazabonne;Alain;M.;Gironde;UC;;2018-03-21;Économie et finances;Économie et finances (Mme la SE auprès du ministre);Entreprises,Économie et finances, fiscalité;http://www.senat.fr/questions/base/2018/qSEQ18030267G.html
0268G;SEQ18030268G; Système de santé des travailleurs transfrontaliers;Schillinger;Patricia;Mme;Haut-Rhin;LaREM;;2018-03-21;Solidarités et santé;Solidarités et santé;Questions sociales et santé,Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030268G.html
0269G;SEQ18030269G;Mineurs isolés étrangers;Meunier;Michelle;Mme;Loire-Atlantique;SOCR;;2018-03-21;Premier ministre;Intérieur (Mme la ministre auprès du ministre d'État);Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030269G.html
0270G;SEQ18030270G;Médecine;Deroche;Catherine;Mme;Maine-et-Loire;Les Républicains;;2018-03-21;Solidarités et santé;Solidarités et santé;Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18030270G.html
0271G;SEQ18030271G;Contrôle des imams étrangers à l'occasion du prochain Ramadan;Goulet;Nathalie;Mme;Orne;UC;;2018-03-21;Intérieur;Intérieur (Mme la ministre auprès du ministre d'État);Société,Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18030271G.html
0272G;SEQ18030272G;Point d'étape sur la politique de la ville;Marchand;Frédéric;M.;Nord;LaREM;;2018-03-21;Cohésion des territoires;Cohésion des territoires;Aménagement du territoire;http://www.senat.fr/questions/base/2018/qSEQ18030272G.html
0273G;SEQ18030273G;Calendrier du plan très haut débit;Chaize;Patrick;M.;Ain;Les Républicains;;2018-03-21;Cohésion des territoires;Numérique;Aménagement du territoire,Recherche, sciences et techniques;http://www.senat.fr/questions/base/2018/qSEQ18030273G.html
0274G;SEQ18030274G;Francophonie;Garriaud-Maylam;Joëlle;Mme;Français établis hors de France;Les Républicains;;2018-03-21;Europe et affaires étrangères;Affaires européennes;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030274G.html
0275G;SEQ18030275G;Arrestation de M. Puigdemont en Allemagne;Ouzoulias;Pierre;M.;Hauts-de-Seine;CRCE;;2018-03-28;Europe et affaires étrangères;Europe et affaires étrangères (M. le SE auprès du ministre);Justice,Police et sécurité,Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030275G.html
0276G;SEQ18030276G;Montée des actes antisémites;Assouline;David;M.;Paris;SOCR;;2018-03-28;Premier ministre;Intérieur;Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18030276G.html
0277G;SEQ18030277G;Érosion de la biodiversité;Bignon;Jérôme;M.;Somme;Les Indépendants;;2018-03-28;Transition écologique et solidaire;Transition écologique et solidaire;Environnement;http://www.senat.fr/questions/base/2018/qSEQ18030277G.html
0278G;SEQ18030278G;Lutte contre le terrorisme ;Retailleau;Bruno;M.;Vendée;Les Républicains;;2018-03-28;Premier ministre;Premier ministre;Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18030278G.html
0279G;SEQ18030279G;Lutte contre le terrorisme ;Lafon;Laurent;M.;Val-de-Marne;UC;;2018-03-28;Premier ministre;Intérieur;Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18030279G.html
0280G;SEQ18030280G;Meurtre antisémite à Paris;Bargeton;Julien;M.;Paris;LaREM;;2018-03-28;Premier ministre;Intérieur;Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18030280G.html
0281G;SEQ18030281G;Kurdes et terrorisme;Léonhardt;Olivier;M.;Essonne;RDSE;;2018-03-28;Premier ministre;Europe et affaires étrangères (M. le SE auprès du ministre);Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18030281G.html
0282G;SEQ18030282G;Mayotte;Lopez;Vivette;Mme;Gard;Les Républicains;;2018-03-28;Premier ministre;Intérieur;Affaires étrangères et coopération,Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18030282G.html
0283G;SEQ18030283G;Carte judiciaire dans le Cantal;Costes;Josiane;Mme;Cantal;RDSE;;2018-03-28;Justice;Relations avec le Parlement;Justice,Aménagement du territoire;http://www.senat.fr/questions/base/2018/qSEQ18030283G.html
0284G;SEQ18030284G;Lutte contre le terrorisme ;Vogel;Jean Pierre;M.;Sarthe;Les Républicains;;2018-03-28;Premier ministre;Intérieur;Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18030284G.html
0285G;SEQ18030285G;Événements à la faculté de Montpellier;Kerrouche;Éric;M.;Landes;SOCR;;2018-03-28;Enseignement supérieur, recherche et innovation;Éducation nationale;Éducation,Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18030285G.html
0286G;SEQ18030286G;Lutte contre le terrorisme ;Ravier;Stéphane;M.;Bouches-du-Rhône;NI;;2018-03-28;Intérieur;Intérieur;Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18030286G.html
0287G;SEQ18040287G;Climat social;Kanner;Patrick;M.;Nord;SOCR;;2018-04-06;Premier ministre;Premier ministre;Questions sociales et santé,Travail;http://www.senat.fr/questions/base/2018/qSEQ18040287G.html
0288G;SEQ18040288G;Réforme de la SNCF;Guerriau;Joël;M.;Loire-Atlantique;Les Indépendants;;2018-04-06;Transports;Relations avec le Parlement;Transports;http://www.senat.fr/questions/base/2018/qSEQ18040288G.html
0289G;SEQ18040289G;Financement du centre national pour le développement du sport;Savin;Michel;M.;Isère;Les Républicains;;2018-04-06;Sports;Sports;Sports,Budget;http://www.senat.fr/questions/base/2018/qSEQ18040289G.html
0290G;SEQ18040290G;Agressions de médecins généralistes;Mizzon;Jean-Marie;M.;Moselle;UC;;2018-04-06;Solidarités et santé;Intérieur (Mme la ministre auprès du ministre d'État);Police et sécurité,Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18040290G.html
0291G;SEQ18040291G;Préparation du sommet de la francophonie en Arménie;Gattolin;André;M.;Hauts-de-Seine;LaREM;;2018-04-06;Europe et affaires étrangères (M. le SE auprès du ministre);Europe et affaires étrangères (M. le SE auprès du ministre);Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18040291G.html
0292G;SEQ18040292G;Plan Autisme ;Gold;Éric;M.;Puy-de-Dôme;RDSE;;2018-04-06;Personnes handicapées;Porte-parole Gouvernement;Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18040292G.html
0293G;SEQ18040293G;Mouvements sociaux;Assassi;Éliane;Mme;Seine-Saint-Denis;CRCE;;2018-04-06;Premier ministre;Premier ministre;Questions sociales et santé,Travail;http://www.senat.fr/questions/base/2018/qSEQ18040293G.html
0294G;SEQ18040294G;CHU de Guadeloupe;Jasmin;Victoire;Mme;Guadeloupe;SOCR;;2018-04-06;Solidarités et santé;Porte-parole Gouvernement;Questions sociales et santé,Outre-mer;http://www.senat.fr/questions/base/2018/qSEQ18040294G.html
0295G;SEQ18040295G;Traitement par dialyse;Savary;René-Paul;M.;Marne;Les Républicains;;2018-04-06;Solidarités et santé;Relations avec le Parlement;Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18040295G.html
0296G;SEQ18040296G;Contrat d'apprentissage des moins de 16 ans;Kern;Claude;M.;Bas-Rhin;UC;;2018-04-06;Travail;Éducation nationale;Travail,Éducation;http://www.senat.fr/questions/base/2018/qSEQ18040296G.html
0297G;SEQ18040297G;Scolarité des jeunes enfants ;Jouve;Mireille;Mme;Bouches-du-Rhône;RDSE;;2018-04-06;Éducation nationale;Éducation nationale;Éducation;http://www.senat.fr/questions/base/2018/qSEQ18040297G.html
0298G;SEQ18040298G;Occupation des places d'hébergement d'urgence ;Eustache-Brinio;Jacqueline;Mme;Val-d'Oise;Les Républicains;;2018-04-06;Intérieur;Intérieur (Mme la ministre auprès du ministre d'État);Logement et urbanisme,Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18040298G.html
0299G;SEQ18040299G;Voies sur berges à Paris;Hugonet;Jean-Raymond;M.;Essonne;Les Républicains;;2018-04-06;Intérieur;Transition écologique et solidaire;Transports;http://www.senat.fr/questions/base/2018/qSEQ18040299G.html
0300G;SEQ18040300G;Situation en Syrie;Malhuret;Claude;M.;Allier;Les Indépendants;;2018-04-11;Premier ministre;Premier ministre;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18040300G.html
0301G;SEQ18040301G;Autisme;Mouiller;Philippe;M.;Deux-Sèvres;Les Républicains;;2018-04-11;Solidarités et santé;Personnes handicapées;Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18040301G.html
0302G;SEQ18040302G;Relations entre l'éducation nationale et les géants d'internet;Morin-Desailly;Catherine;Mme;Seine-Maritime;UC;;2018-04-11;Éducation nationale;Éducation nationale;Recherche, sciences et techniques,Éducation;http://www.senat.fr/questions/base/2018/qSEQ18040302G.html
0303G;SEQ18040303G;Situation en Syrie;Cazeau;Bernard;M.;Dordogne;LaREM;;2018-04-11;Premier ministre;Affaires européennes;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18040303G.html
0304G;SEQ18040304G;Politique agricole commune;Menonville;Franck;M.;Meuse;RDSE;;2018-04-11;Agriculture et alimentation;Agriculture et alimentation;Union européenne,Agriculture et pêche;http://www.senat.fr/questions/base/2018/qSEQ18040304G.html
0305G;SEQ18040305G;Mouvement social dans les universités;Benbassa;Esther;Mme;Paris;CRCE;-R;2018-04-11;Premier ministre;Enseignement supérieur, recherche et innovation;Éducation;http://www.senat.fr/questions/base/2018/qSEQ18040305G.html
0306G;SEQ18040306G;Situation de Raif Badawi;Rossignol;Laurence;Mme;Oise;SOCR;;2018-04-11;Europe et affaires étrangères;Affaires européennes;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18040306G.html
0307G;SEQ18040307G;Neutralité des services de l'éducation nationale;Buffet;François-Noël;M.;Rhône;Les Républicains;;2018-04-11;Éducation nationale;Éducation nationale;Éducation;http://www.senat.fr/questions/base/2018/qSEQ18040307G.html
0308G;SEQ18040308G;Algues sargasses en Guadeloupe;Théophile;Dominique;M.;Guadeloupe;LaREM;;2018-04-11;Premier ministre;Outre-mer;Outre-mer,Environnement;http://www.senat.fr/questions/base/2018/qSEQ18040308G.html
0309G;SEQ18040309G;Baisse des dotations communales;Bonfanti-Dossat;Christine;Mme;Lot-et-Garonne;Les Républicains;;2018-04-11;Économie et finances;Intérieur (Mme la ministre auprès du ministre d'État);Collectivités territoriales;http://www.senat.fr/questions/base/2018/qSEQ18040309G.html
0310G;SEQ18040310G;Laïcité et pacte républicain;Perol-Dumont;Marie-Françoise;Mme;Haute-Vienne;SOCR;;2018-04-11;Intérieur;Intérieur;Société,Pouvoirs publics et Constitution;http://www.senat.fr/questions/base/2018/qSEQ18040310G.html
0311G;SEQ18040311G;Situation à ND-des-Landes;Duplomb;Laurent;M.;Haute-Loire;Les Républicains;;2018-04-20;Premier ministre;Premier ministre;Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18040311G.html
0312G;SEQ18040312G;Projets de relance de la construction européenne;Capo-Canellas;Vincent;M.;Seine-Saint-Denis;UC;;2018-04-20;Premier ministre;Porte-parole Gouvernement;Union européenne,Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18040312G.html
0313G;SEQ18040313G;Seconde journée de solidarité;Lévrier;Martin;M.;Yvelines;LaREM;;2018-04-20;Solidarités et santé;Solidarités et santé;Travail,Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18040313G.html
0314G;SEQ18040314G;Carte des zones défavorisées simples;Delattre;Nathalie;Mme;Gironde;RDSE;;2018-04-20;Agriculture et alimentation;Relations avec le Parlement;Union européenne,Agriculture et pêche;http://www.senat.fr/questions/base/2018/qSEQ18040314G.html
0315G;SEQ18040315G;Dimension écologique de la future proposition de résolution de la France sur la PAC;Gontard;Guillaume;M.;Isère;CRCE;-R;2018-04-20;Agriculture et alimentation;Transition écologique et solidaire;Environnement,Union européenne;http://www.senat.fr/questions/base/2018/qSEQ18040315G.html
0316G;SEQ18040316G;Droit d'asile et nouveau centre d'accueil à La Villette;Jomier;Bernard;M.;Paris;SOCR;-A;2018-04-20;Intérieur;Relations avec le Parlement;Affaires étrangères et coopération,Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18040316G.html
0317G;SEQ18040317G;Politique d'aménagement et d'équilibre des territoires;Fouché;Alain;M.;Vienne;Les Indépendants;;2018-04-20;Intérieur (Mme la ministre auprès du ministre d'État);Cohésion des territoires;Aménagement du territoire;http://www.senat.fr/questions/base/2018/qSEQ18040317G.html
0318G;SEQ18040318G;Accompagnatrice voilée en sortie scolaire;Pemezec;Philippe;M.;Hauts-de-Seine;Les Républicains;;2018-04-20;Intérieur;Éducation nationale;Éducation,Société;http://www.senat.fr/questions/base/2018/qSEQ18040318G.html
0319G;SEQ18040319G;Plans régionaux de santé;Vermeillet;Sylvie;Mme;Jura;UC;;2018-04-20;Solidarités et santé;Solidarités et santé;Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18040319G.html
0320G;SEQ18040320G;Lien entre l'emploi et les territoires ;Marchand;Frédéric;M.;Nord;LaREM;;2018-04-20;Travail;Travail;Aménagement du territoire,Travail;http://www.senat.fr/questions/base/2018/qSEQ18040320G.html
0321G;SEQ18040321G;Moyens de la justice;Iacovelli;Xavier;M.;Hauts-de-Seine;SOCR;;2018-04-20;Justice;Justice;Justice,Budget;http://www.senat.fr/questions/base/2018/qSEQ18040321G.html
0322G;SEQ18040322G;Blocage dans les universités;Lherbier;Brigitte;Mme;Nord;Les Républicains;;2018-04-20;Enseignement supérieur, recherche et innovation;Enseignement supérieur, recherche et innovation;Police et sécurité,Éducation;http://www.senat.fr/questions/base/2018/qSEQ18040322G.html
0323G;SEQ18040323G;Situation des communes rurales;Laménie;Marc;M.;Ardennes;Les Républicains;;2018-04-20;Cohésion des territoires;Cohésion des territoires;Collectivités territoriales;http://www.senat.fr/questions/base/2018/qSEQ18040323G.html
0324G;SEQ18050324G;Crise au Proche-Orient;Marseille;Hervé;M.;Hauts-de-Seine;UC;;2018-05-16;Premier ministre;Premier ministre;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18050324G.html
0325G;SEQ18050325G;Heurts en Israël;Cazeau;Bernard;M.;Dordogne;LaREM;;2018-05-16;Europe et affaires étrangères;Europe et affaires étrangères (M. le SE auprès du ministre);Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18050325G.html
0326G;SEQ18050326G;Samu de Strasbourg;Guillotin;Véronique;Mme;Meurthe-et-Moselle;RDSE;;2018-05-16;Solidarités et santé;Solidarités et santé;Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18050326G.html
0327G;SEQ18050327G;Situation en Palestine;Prunaud;Christine;Mme;Côtes-d'Armor;CRCE;;2018-05-16;Europe et affaires étrangères;Europe et affaires étrangères (M. le SE auprès du ministre);Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18050327G.html
0328G;SEQ18050328G;Rapport Oxfam;Raynal;Claude;M.;Haute-Garonne;SOCR;;2018-05-16;Économie et finances;Économie et finances;Économie et finances, fiscalité,Entreprises;http://www.senat.fr/questions/base/2018/qSEQ18050328G.html
0329G;SEQ18050329G;Conséquences pour les entreprises françaises en Iran du retrait américain de l'accord de Vienne;Capus;Emmanuel;M.;Maine-et-Loire;Les Indépendants;;2018-05-16;Économie et finances;Économie et finances;Entreprises,Traités et conventions,Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18050329G.html
0330G;SEQ18050330G;Terrorisme;Eustache-Brinio;Jacqueline;Mme;Val-d'Oise;Les Républicains;;2018-05-16;Premier ministre;Intérieur;Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18050330G.html
0331G;SEQ18050331G;Fonds d'urgence pour les abeilles ;Labbé;Joël;M.;Morbihan;RDSE;-R;2018-05-16;Agriculture et alimentation;Agriculture et alimentation;Environnement,Agriculture et pêche;http://www.senat.fr/questions/base/2018/qSEQ18050331G.html
0332G;SEQ18050332G;Situation du fret;Cuypers;Pierre;M.;Seine-et-Marne;Les Républicains;;2018-05-16;Transports;Transports;Travail,Agriculture et pêche,Transports;http://www.senat.fr/questions/base/2018/qSEQ18050332G.html
0333G;SEQ18050333G;Organisation de la semaine scolaire;Puissat;Frédérique;Mme;Isère;Les Républicains;;2018-05-16;Éducation nationale;Éducation nationale;Éducation;http://www.senat.fr/questions/base/2018/qSEQ18050333G.html
0334G;SEQ18050334G;Finances des collectivités territoriales ;Botrel;Yannick;M.;Côtes-d'Armor;SOCR;;2018-05-16;Action et comptes publics;Intérieur (Mme la ministre auprès du ministre d'État);Collectivités territoriales;http://www.senat.fr/questions/base/2018/qSEQ18050334G.html
0335G;SEQ18050335G;Classement en zone de catastrophe naturelle;Perrot;Évelyne;Mme;Aube;NI;;2018-05-16;Intérieur;Intérieur (Mme la ministre auprès du ministre d'État);Collectivités territoriales;http://www.senat.fr/questions/base/2018/qSEQ18050335G.html
0336G;SEQ18050336G;Parcoursup;Bargeton;Julien;M.;Paris;LaREM;;2018-05-25;Enseignement supérieur, recherche et innovation;Enseignement supérieur, recherche et innovation;Éducation;http://www.senat.fr/questions/base/2018/qSEQ18050336G.html
0337G;SEQ18050337G;Usine Total de La Mède;Menonville;Franck;M.;Meuse;RDSE;;2018-05-25;Transition écologique et solidaire;Transition écologique et solidaire;Énergie,Environnement;http://www.senat.fr/questions/base/2018/qSEQ18050337G.html
0338G;SEQ18050338G;Plan pour les banlieues;Gay;Fabien;M.;Seine-Saint-Denis;CRCE;;2018-05-25;Cohésion des territoires;Cohésion des territoires;Collectivités territoriales,Aménagement du territoire,Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18050338G.html
0339G;SEQ18050339G;Pouvoir d'achat des fonctionnaires;Bigot;Joël;M.;Maine-et-Loire;SOCR;;2018-05-25;Action et comptes publics (M. le SE auprès du ministre);Porte-parole Gouvernement;Fonction publique;http://www.senat.fr/questions/base/2018/qSEQ18050339G.html
0340G;SEQ18050340G;L'agro-pastoralisme et les loups;Marc;Alain;M.;Aveyron;Les Indépendants;;2018-05-25;Agriculture et alimentation;Transition écologique et solidaire;Agriculture et pêche,Environnement;http://www.senat.fr/questions/base/2018/qSEQ18050340G.html
0341G;SEQ18050341G;Plan Borloo;Estrosi Sassone;Dominique;Mme;Alpes-Maritimes;Les Républicains;;2018-05-25;Cohésion des territoires;Cohésion des territoires (M. le SE auprès du ministre);Aménagement du territoire,Collectivités territoriales,Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18050341G.html
0342G;SEQ18050342G;Plan ruralité;Mizzon;Jean-Marie;M.;Moselle;UC;;2018-05-25;Cohésion des territoires;Cohésion des territoires;Aménagement du territoire;http://www.senat.fr/questions/base/2018/qSEQ18050342G.html
0343G;SEQ18050343G;Situation des personnes handicapées;Corbisez;Jean-Pierre;M.;Pas-de-Calais;RDSE;;2018-05-25;Personnes handicapées;Solidarités et santé;Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18050343G.html
0344G;SEQ18050344G;Plan pour les banlieues;Lienemann;Marie-Noëlle;Mme;Paris;SOCR;;2018-05-25;Cohésion des territoires;Cohésion des territoires;Questions sociales et santé,Aménagement du territoire,Collectivités territoriales;http://www.senat.fr/questions/base/2018/qSEQ18050344G.html
0345G;SEQ18050345G;Pollution de l'air;Husson;Jean-François;M.;Meurthe-et-Moselle;Les Républicains;;2018-05-25;Transition écologique et solidaire;Transition écologique et solidaire;Union européenne,Environnement;http://www.senat.fr/questions/base/2018/qSEQ18050345G.html
0346G;SEQ18050346G;Zones de revitalisation rurale et péréquation;Loisier;Anne-Catherine;Mme;Côte-d'Or;UC;-R;2018-05-25;Intérieur;Intérieur (Mme la ministre auprès du ministre d'État);Aménagement du territoire,Économie et finances, fiscalité,Agriculture et pêche;http://www.senat.fr/questions/base/2018/qSEQ18050346G.html
0347G;SEQ18050347G;Financement de l'Alliance française;Deromedi;Jacky;Mme;Français établis hors de France;Les Républicains;;2018-05-25;Économie et finances;Europe et affaires étrangères (M. le SE auprès du ministre);Culture,Économie et finances, fiscalité,Affaires étrangères et coopération;http://www.senat.fr/questions/base/2018/qSEQ18050347G.html
0348G;SEQ18050348G;Communautarisme et respect de la laïcité;Bascher;Jérôme;M.;Oise;Les Républicains;;2018-05-25;Premier ministre;Intérieur (Mme la ministre auprès du ministre d'État);Police et sécurité,Société;http://www.senat.fr/questions/base/2018/qSEQ18050348G.html
0349G;SEQ18050349G;Urgences dans les hôpitaux en outre-mer;Arnell;Guillaume;M.;Saint-Martin;RDSE;;2018-05-30;Solidarités et santé;Solidarités et santé;Outre-mer,Questions sociales et santé;http://www.senat.fr/questions/base/2018/qSEQ18050349G.html
0350G;SEQ18050350G;Parcoursup;Ouzoulias;Pierre;M.;Hauts-de-Seine;CRCE;;2018-05-30;Enseignement supérieur, recherche et innovation;Numérique;Éducation;http://www.senat.fr/questions/base/2018/qSEQ18050350G.html
0351G;SEQ18050351G;Rodéos urbains;Ghali;Samia;Mme;Bouches-du-Rhône;SOCR;;2018-05-30;Intérieur;Intérieur (Mme la ministre auprès du ministre d'État);Police et sécurité;http://www.senat.fr/questions/base/2018/qSEQ18050351G.html
