X,Y,FID,nombre,localisati,secteur,etat,source,export,controle
55.4456660590001,-20.8877018389999,322,1,Rue Lucien Gasparin,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4468610110001,-20.873870911,323,1,Avenue  de la Victoire,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4470563040001,-20.8744046539999,324,1,Avenue  de la Victoire,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4478285910001,-20.875647057,325,1,Avenue  de la Victoire Jardin face à Palais Rontau,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.447661006,-20.875699555,326,1,Avenue  de la Victoire Jardin face à Palais Rontau,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4476982,-20.8758307849999,327,1,Avenue  de la Victoire Jardin face à Palais Rontau,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.447940304,-20.8758220519999,328,1,Avenue  de la Victoire Jardin face à Palais Rontau,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4479496450001,-20.875577064,329,1,Avenue  de la Victoire Jardin face à Palais Rontau,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4478285180001,-20.8758132689999,330,1,Avenue  de la Victoire Jardin face à Palais Rontau,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4477168820001,-20.875612078,331,1,Avenue  de la Victoire Jardin face à Palais Rontau,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4477632860001,-20.8762594639999,332,1,Avenue  de la Victoire,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4479214880001,-20.876661887,333,1,Avenue  de la Victoire,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4481912460001,-20.8771518619999,334,1,Avenue  de la Victoire jardin de la Cathédrale,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4484332500001,-20.877134455,335,1,Avenue  de la Victoire jardin de la Cathédrale,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
