oid,code,libelle,surf_m2
97595,2111,Terres arables,107633
97596,2111,Terres arables,29838
97574,2111,Terres arables,1859012
97575,2111,Terres arables,70866
97576,2111,Terres arables,152895
97577,2111,Terres arables,55987
97578,2111,Terres arables,14581
97579,2111,Terres arables,63399
97580,2111,Terres arables,8489
97581,2111,Terres arables,5714
97582,2111,Terres arables,36223
97583,2111,Terres arables,11497
97849,2111,Terres arables,62798
97584,2111,Terres arables,903442
97585,2111,Terres arables,214515
97586,2111,Terres arables,57663
97587,2111,Terres arables,70540
97588,2111,Terres arables,61644
97589,2111,Terres arables,8840
97590,2111,Terres arables,30745
97591,2111,Terres arables,34334
97592,2111,Terres arables,112695
97593,2111,Terres arables,32281
97850,2111,Terres arables,6931
97597,2111,Terres arables,22114
97598,2111,Terres arables,6325
97599,2111,Terres arables,451803
97600,2111,Terres arables,39882
97601,2111,Terres arables,100360
97602,2111,Terres arables,1068794
97603,2111,Terres arables,13649
97604,2111,Terres arables,25669
97605,2111,Terres arables,61941
97606,2111,Terres arables,6303
97607,2111,Terres arables,50376
97608,2111,Terres arables,88871
97609,2111,Terres arables,17123
101148,2111,Terres arables,31907
97610,2111,Terres arables,20623
97611,2111,Terres arables,12942
97612,2111,Terres arables,38653
97613,2111,Terres arables,76607
97614,2111,Terres arables,15184
97615,2111,Terres arables,177512
97616,2111,Terres arables,16090
97617,2111,Terres arables,17781
97618,2111,Terres arables,100985
97619,2111,Terres arables,7348
97620,2111,Terres arables,108196
97621,2111,Terres arables,23262
97622,2111,Terres arables,44781
97623,2111,Terres arables,112653
97624,2111,Terres arables,30263
97715,2111,Terres arables,67980
97716,2111,Terres arables,30750332
97625,2111,Terres arables,1045576
97626,2111,Terres arables,200095
97627,2111,Terres arables,111038
97628,2111,Terres arables,73938
97629,2111,Terres arables,22761
97630,2111,Terres arables,40758
97631,2111,Terres arables,291297
97632,2111,Terres arables,22190
97633,2111,Terres arables,49906
100558,2111,Terres arables,29535
97634,2111,Terres arables,62378
97635,2111,Terres arables,19487
97636,2111,Terres arables,128661
97637,2111,Terres arables,18488
97638,2111,Terres arables,13440
97639,2111,Terres arables,17354
97640,2111,Terres arables,153841
97641,2111,Terres arables,336130
97642,2111,Terres arables,3092
97654,2111,Terres arables,383483
97894,2111,Terres arables,59959
97643,2111,Terres arables,1091358
97644,2111,Terres arables,22827
97645,2111,Terres arables,22555
97646,2111,Terres arables,84216
97647,2111,Terres arables,45384
97648,2111,Terres arables,29201
97650,2111,Terres arables,539225
97651,2111,Terres arables,61955
97696,2111,Terres arables,7935
97895,2111,Terres arables,10548
97649,2111,Terres arables,6669009
97652,2111,Terres arables,200754
