OBJECTID,MOBILIER,ID_MOBILIE,COMMUNE,NOM_PARC,ACQUISITIO,TYPE,GlobalID
115,POTEAU,PT8,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Poteau carré, 15*15 cm, long 1 m",6303b378-c50e-4f86-81fa-bdea10077f2f
116,TABLE,TA1,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, 2 bancs longs",4b8ddc21-9304-4688-b8b5-3505fe3e35ca
117,TABLE,TA2,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, 2 bancs longs",18a34ca9-8d40-485f-9030-753c8e4990b3
118,TABLE,TA3,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, 2 bancs longs",28cb525f-df2c-426a-917e-d646f3028b6e
119,TABLE,TA4,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, 2 bancs longs",b2783eab-f56a-47b4-9447-9120f281851a
120,TABLE,TA5,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, 2 bancs longs",b42c464b-022a-45a4-b196-5760b4f84801
121,POUBELLE,PB19,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 100 litres,f27edae4-cd2f-4b42-98de-518bc5477022
122,POUBELLE,PB20,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 100 litres,4edf839b-71f4-4589-9fe5-ef1db56e07dc
123,POUBELLE,PB21,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne octogonale 75 litres,84306056-425d-4e06-9e17-cfe74be4c32d
124,ABRI,AB2,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Observatoire,814163ef-6a72-4256-8f24-4638496a5ac5
125,POTEAU,PT9,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Poteau carré, 15*15 cm, long 1 m",27429a14-dc43-4d04-9d6e-204e08c6003c
126,TABLE,TA6,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, 2 bancs longs",8517ed09-afe6-4721-a405-cd706a00532c
127,POTEAU,PT10,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Poteau rond, diam 12 cm, long 1 m",745ba7a6-0c81-4fa8-b3bf-773d95e2369f
128,POTEAU,PT11,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Poteau en fer,22c68f3c-21e8-4cdc-bc22-43f237691eff
129,BARRIERE,BR1,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Métalique, sol, passage véhicule",d6f2029a-1318-4f82-a6dd-60481332a3d9
130,POTEAU,PT15,BRIARE,Trousse-Bois,Relevé terrain,"Poteau carré, 15*15 cm, long 1 m",3c787f89-f76b-43f5-ae61-b2c76bd46123
131,POUBELLE,PB25,BRIARE,Trousse-Bois,Relevé terrain,En plastique carrée 50 litres,33461d0f-69a2-4da1-9331-6730cc22eb7e
132,BARRIERE,BR3,BRIARE,Trousse-Bois,Relevé terrain,"Pivotante 4 m, 3 points d'appui",fa11b97e-f605-4df0-96c3-348aba782084
133,POTEAU,PT12,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Poteau carré, 15*15 cm, long 1 m",9a6924c8-2a80-423e-8216-845b5fcf72c0
134,ABRI,AB3,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Pigeonnier,e0480a72-45c6-4c14-ae7f-d2004f3e420f
135,POTEAU,PT16,BRIARE,Trousse-Bois,Relevé terrain,"Poteau carré, 15*15 cm, long 1 m",b70fa156-2ea1-416a-b176-d8e95305208c
