code INSEE Departement,code INSEE commune,Commune brute,Adresse brute,Adresse formatee,Numero du bureau de vote,date,latitude,longitude
33,,LESPARRE-MEDOC,SALLE DES FETES DE ST TRELODY 4, Lesparre-Médoc,,,45.3059,-0.936195
33,,NAUJAC-SUR-MER,MAIRIE 1,,,,,
33,,ORDONNAC,MAIRIE 1,,,,,
33,,PRIGNAC-EN-MEDOC ,MAIRIE 1,,,,,
33,,QUEYRAC ,FOYER COMMUNAL 1, Queyrac,,,45.363,-0.975793
33,,SAINT-CHRISTOLY-DE-MEDOC,SALLE COMMUNALE 1,,,,,
33,,SAINT-GERMAIN-D'ESTEUIL,MAIRIE 1,,,,,
33,,SAINT-GERMAIN-D'ESTEUIL,SALLE DES FETES D'ARTIGUILLON 1, St. Germain,,,45.9128,-89.4902
33,,SAINT-YZANS-DE-MEDOC,MAIRIE 1,,,,,
33,,VALEYRAC,MAIRIE 1,,,,,
33,,VENDAYS-MONTALIVET,ECOLE DE MONTALIVE 1, Vendays-Montalivet,,,45.3559,-1.05964
33,,VENDAYS-MONTALIVET,MAIRIE DE VENDAYS 2,11 Rue de la Mairie - 33930 Vendays-Montalivet,,,45.3564,-1.06123
33,,CISSAC-MEDOC,MAIRIE 1,,,,,
33,,PAUILLAC,MAIRIE 1,,,,,
33,,PAUILLAC,SALLE DES FETES DE POUYALET 2, Pauillac,,,45.199,-0.748824
33,,PAUILLAC,ECOLE HAUTEVILLE 3,3 Cité Hauteville - 33250 Pauillac,,,45.2006,-0.755366
33,,PAUILLAC,ECOLE DE PRADINA 4, Pauillac,,,45.1992,-0.748886
33,,SAINT-ESTEPHE,MAIRIE 1,,,,,
33,,SAINT-JULIEN-BEYCHEVELLE ,MAIRIE DE SAINT JULIEN 1, Saint-Julien-Beychevelle,,,45.1641,-0.738219
33,,SAINT-JULIEN-BEYCHEVELLE ,SALLE DES FETES DE BEYCHEVELLE 2, Saint-Julien-Beychevelle,,,45.1658,-0.741749
33,,SAINT-SAUVEUR,MAIRIE 1,,,,,
33,,SAINT-SEURIN-DE-CADOURNE,FOYER SOCIO CULTUREL 1, Saint-Seurin-de-Cadourne,,,45.2857,-0.789968
33,,VERTHEUIL,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,CARCANS ,MAIRIE 1,,,,,
33,,CARCANS ,MAIRIE 2,,,,,
33,,CARCANS ,MAIRIE 3,,,,,
33,,HOURTIN,FOYER ANDRE LAGUNE 1, Hourtin,,,45.1855,-1.05782
33,,HOURTIN,SALLE  ANNEXE 2, Hourtin,,,45.1855,-1.05782
33,,HOURTIN,SALLE DES FETES 3,,,,,
33,,SAINT-LAURENT-MEDOC,SALLE DES FETES 1,,,,29.3701,-94.9718
33,,SAINT-LAURENT-MEDOC,SALLE DES FETES 2,,,,,
33,,SAINT-LAURENT-MEDOC,SALLE DES MARIAGES 3, Saint-Laurent-Médoc,,,45.1502,-0.821959
33,,GRAYAN-ET-L'HOPITAL ,MAIRIE 1,,,,,
33,,JAU-DIGNAC-ET-LOIRAC,MAIRIE 2,,,,,
33,,SAINT-VIVIEN-DE-MEDOC,MAIRIE 3,,,,,
33,,SOULAC-SUR-MER,CENTRE MUNICIPAL CULTUREL ET SPORTIF 1, Soulac-sur-Mer,,,45.5134,-1.12216
33,,SOULAC-SUR-MER,ECOLE MATERNELLE 2,,,,44.765,-0.488203
33,,SOULAC-SUR-MER,HOTEL DE VILLE 3,3 Rue de l'HÃ´tel de Ville - 33780 Soulac-sur-Mer,,,45.5155,-1.12185
33,,TALAIS,MAIRIE 1,,,,,
33,,VENSAC ,MAIRIE 1,,,,,
