REF,ETUD,LOCA,REG,DPT,COM,INSEE,TICO,ADRS,STAT,AFFE,PPRO,DPRO,AUTR,SCLE,,,,,,,,,,,,,,,,,,,,,
PA33000127,recensement immeubles MH,Aquitaine ,33, Bordeaux,Aquitaine,33,Bordeaux,33063,Chartreuse le Caoulet,Thérésia-Cabarrus (rue) 29,propriété d'une personne privée,,"La chartreuse avec son portail et sa clôture, en totalité (cad. HY 78) : inscription par arrêté du 6 mars 2009",2009/03/06 : inscrit MH,Chalifour Jean (architecte),2e moitié 18e siècle,,,,,,,,,,,,,,,,,,,
PA33000126,recensement immeubles MH,Aquitaine ,33, Bègles,Aquitaine,33,Bègles,33039,Ancien domaine de Lachaise,Président-Wilson (quai du) 91,propriété d'une société privée,,"Les façades et toitures, ainsi que la cour avec sa grille de clôture de la maison de l'ancien domaine (cad. BK 30) : inscription par arrêté du 12 juin 2009",2009/06/12 : inscrit MH,,4e quart 18e siècle,,,,,,,,,,,,,,,,,,,
PA24000073,recensement immeubles MH,Aquitaine ,24, Monsaguel,Aquitaine,24,Monsaguel,24282,Manoir de l'Aubespin,,propriété d'une personne privée,,"Le manoir, les vestiges de sa grange ainsi que son terrain d'assiette, en totalité (cad. C 23) : inscription par arrêté du 9 mars 2009",2009/03/09 : inscrit MH,,15e siècle , 16e siècle , 17e siècle,,,,,,,,,,,,,,,,,
PA33000124,recensement immeubles MH,Aquitaine ,33, Bordeaux,Aquitaine,33,Bordeaux,33063,Maison,Menuts (rue des) 13,propriété d'une personne privée,,La maison en totalité (cad. DP 89) : inscription par arrêté du 31 juillet 2007,2007/07/31 : inscrit MH,,1er quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA64000072,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Biarritz,Aquitaine,64,Biarritz,64122,Phare de la Pointe Saint-Martin,,propriété de l'Etat,affecté au ministère chargé de l'équipement,"Le phare en totalité, y compris ses locaux techniques (cad. AA 3) : inscription par arrêté du 6 novembre 2009",2009/11/06 : inscrit MH,,2e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA40000073,recensement immeubles MH,Aquitaine , Landes , Saint-Julien-en-Born,Aquitaine,40,Saint-Julien-en-Born,40266,Phare de Contis,,propriété de l'Etat,affecté au ministère chargé de l'équipement,"Le phare en totalité, avec ses locaux techniques et les anciennes maisons de gardiens avec leurs communs (cad. AL 249) : inscription par arrêté du 6 novembre 2009",2009/11/06 : inscrit MH,,3e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA33000123,recensement immeubles MH,Aquitaine , Gironde , Le Verdon-sur-Mer,Aquitaine,33,Verdon-sur-Mer (Le),33544,Phare de la Pointe de Grave,,propriété de l'Etat,affecté au ministère chargé de l'équipement,"Le phare en totalité, avec ses anciens logements occupés par le musée (cad. AA 8 ) : inscription par arrêté du 6 novembre 2009",2009/11/06 : inscrit MH,,3e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA33000122,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Henri-Frugès (rue) 28,propriété d'une personne privée,,La maison en totalité (cad. CS 115) : inscription par arrêté du 10 septembre 2009,2009/09/10 : inscrit MH,"Jeanneret Charles-Edouard, dit Le Corbusier (architecte) ", Jeanneret Pierre (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA33000121,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Henri-Frugès (rue) 42,propriété d'une personne privée,,La maison en totalité (cad. CS 140) : inscription par arrêté du 10 septembre 2009,2009/09/10 : inscrit MH,"Jeanneret Charles-Edouard, dit Le Corbusier (architecte) ", Jeanneret Pierre (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA33000120,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Henri-Frugès (rue) 34,propriété d'une personne privée,,La maison en totalité (cad. CS 112) : inscription par arrêté du 10 septembre 2009,2009/09/10 : inscrit MH,"Jeanneret Charles-Edouard, dit Le Corbusier (architecte) ", Jeanneret Pierre (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA33000119,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Le-Corbusier (rue) 3,propriété d'une personne privée,,La maison en totalité (cad. CS 125) : inscription par arrêté du 10 septembre 2009,2009/09/10 : inscrit MH,"Jeanneret Charles-Edouard, dit Le Corbusier (architecte) ", Jeanneret Pierre (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA33000118,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Le-Corbusier (rue) 6,propriété d'une personne privée,,La maison en totalité (cad. CS 154) : inscription par arrêté du 10 septembre 2009,2009/09/10 : inscrit MH,"Jeanneret Charles-Edouard, dit Le Corbusier (architecte) ", Jeanneret Pierre (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA33000117,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Le-Corbusier (rue) 16,propriété d'une personne privée,,La maison en totalité (cad. CS 464) : inscription par arrêté du 10 septembre 2009,2009/09/10 : inscrit MH,"Jeanneret Charles-Edouard, dit Le Corbusier (architecte) ", Jeanneret Pierre (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA33000116,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Arcades (rue des) 4,propriété d'une personne privée,,La maison en totalité (cad. CS 144) : inscription par arrêté du 10 septembre 2009,2009/09/10 : inscrit MH,"Jeanneret Charles-Edouard, dit Le Corbusier (architecte) ", Jeanneret Pierre (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA33000115,recensement immeubles MH,Aquitaine , Gironde , Pessac,Aquitaine,33,Pessac,33318,Maison,Xavier-Arnozan (rue) 27,propriété d'une personne privée,,La maison en totalité (cad. CS 123) : inscription par arrêté du 10 septembre 2009,2009/09/10 : inscrit MH,"Jeanneret Charles-Edouard, dit Le Corbusier (architecte) ", Jeanneret Pierre (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA33000114,recensement immeubles MH,Aquitaine , Gironde , Lège-Cap-Ferret,Aquitaine,33,Lège-Cap-Ferret,33236,Phare,,propriété de l'Etat,affecté au ministère chargé de l'équipement,"Le phare en totalité, y compris ses locaux techniques et le couloir les reliant au phare (cad. EX 300) : inscription par arrêté du 6 novembre 2009",2009/11/06 : inscrit MH,,2e quart 19e siècle , 2e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA33000113,recensement immeubles MH,Aquitaine , Gironde , Hourtin,Aquitaine,33,Hourtin,33203,Phare d'Hourtin,,propriété de l'Etat,affecté au ministère chargé de l'équipement,"Le phare en totalité, avec les anciens logements des gardiens et les communs (cad. BM 188) : inscription par arrêté du 6 novembre 2009",2009/11/06 : inscrit MH,,3e quart 19e siècle,,,,,,,,,,,,,,,,,,,
PA33000112,recensement immeubles MH,Aquitaine , Gironde , Les Esseintes,Aquitaine,33,Esseintes (Les),33158,Maison du Domaine de Bonsol,,propriété d'une personne privée,,"L'aile 18e siècle de la maison avec son décor et son papier peint, en totalité (cad. A 208 ) : inscription par arrêté du 10 septembre 2009",2009/09/10 : inscrit MH,Dufour (fabricant),18e siècle , 1er quart 19e siècle,,,,,,,,,,,,,,,,,,
PA24000072,recensement immeubles MH,Aquitaine , Dordogne , Marquay,Aquitaine,24,Marquay,24255,Grotte préhistorique de la Grèze,,propriété d'une personne privée,,La grotte préhistorique (cad. AW 342) : inscription par arrêté du 9 octobre 2009,2009/10/09 : inscrit MH,,Paléolithique,,,,,,,,,,,,,,,,,,,
PA64000071,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Bayonne,Aquitaine,64,Bayonne,64102,Château du Vigneau,,propriété d'une personne privée,,"Le château en totalité, avec son portail et sa grille, mais à l'exclusion du jardin et du parc (cad. AZ 38) : inscription par arrêté du 12 juin 2009",2009/06/12 : inscrit MH,Gomez (architecte),19e siècle , 1er quart 20e siècle,,,,,,,,,,,,,,,,,,
PA40000072,recensement immeubles MH,Aquitaine , Landes , Le Frêche,Aquitaine,40,Frêche (Le),40100,Maison forte de Tampouy,,propriété du département,,"La maison forte et sa bergerie, en totalité (cad. H 347) : inscription par arrêté du 3 juillet 2009",2009/07/03 : inscrit MH,,14e siècle , 16e siècle , 17e siècle , 18e siècle,,,,,,,,,,,,,,,,
PA33000111,recensement immeubles MH,Aquitaine , Gironde , Verdelais,Aquitaine,33,Verdelais,33543,Site de pèlerinage de Verdelais : Allées de Verdelais,,propriété de la commune,,"Les allées de Verdelais en totalité, avec leur mur de soutènement à l'ouest (cad. non cadastré, domaine public ", allées délimitées par la route départementale RD 19 au sud et la basilique Notre-Dame à l'est) : inscription par arrêté du 15 mai 2009,2009/05/15 : inscrit MH,,,,,,,,,,,,,,,,,,,,
PA33000110,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,"Pont ferroviaire Saint-Jean, habituellement désigné sous le nom de passerelle Eiffel",,propriété d'un établissement public de l'Etat,,"Le pont situé sur la Garonne entre le quai de Paludate et le quai Deschamps (cad. non cadastré, domaine public) : classement par arrêté du 22 février 2010",2010/02/22 : classé MH,Eiffel Gustave (ingénieur) , Régnault Paul (ingénieur) , La Roche Tolay Stanislas de (ingénieur),3e quart 19e siècle,,,,,,,,,,,,,,,,,
PA33000109,recensement immeubles MH,Aquitaine , Gironde , Bordeaux,Aquitaine,33,Bordeaux,33063,Hôtel dit de la Faïencerie,Verdun (rue) 15,propriété d'une personne privée,,L'hôtel en totalité (cad. PE 161) : inscription par arrêté du 12 juin 2009,2009/06/12 : inscrit MH,,milieu 18e siècle,,,,,,,,,,,,,,,,,,,
PA24000071,recensement immeubles MH,Aquitaine , Dordogne , Vieux-Mareuil,Aquitaine,24,Vieux-Mareuil,24579,Château de Chanet,,propriété d'une société privée,,"Le château avec les communs, les cours, les jardins et les terrasses, les murs de soutènement et de clôture et les vestiges archéologiques constitués d'un puits, d'un cluseau et de silos (cad. F 82, 81, 80, 535) : inscription par arrêté du 15 janvier 2009",2009/01/15 : inscrit MH,,15e siècle , 16e siècle , 17e siècle,,,,,,,,,,,,,,,,,
PA47000068,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Nérac,Aquitaine,47,Nérac,47195,Ancien établissement templier de Puy Fort Eguille,,propriété de la commune , propriété d'une personne privée,,"L'ancien établissement formé de l'église Saint-Jean-Baptiste, de l'ancien logis, du sol de l'ancienne cour intérieure (qu'ils délimitent au sud et à l'ouest) et de l'ancien pigeonnier (cad. V 420, 161) : inscription par arrêté du 30 mai 2006",2006/05/30 : inscrit MH,,12e siècle , 13e siècle,,,,,,,,,,,,,,,,,
PA40000061,recensement immeubles MH,Aquitaine , Landes , Brocas,Aquitaine,40,Brocas,40056,Anciennes forges,,propriété de la commune,,"L'ancien haut fourneau, l'ancien moulin à farine avec son mécanisme (cad. B 844) "," les deux bâtiments contigus formant l'ancien ""atelier"" (cad. B 1482) "," le bâtiment dit la ""grange"" (cad. B 2029) ", la retenue avec son barrage (cad. B 844 , D 155 ," le barrage constitue l'assiette de la route départementale 353, domaine public, non cadastré) : inscription par arrêté du 18 septembre 2006",2006/09/18 : inscrit MH,,2e quart 19e siècle,,,,,,,,,,,,,,
PA40000060,recensement immeubles MH,Aquitaine , Landes , Arthez-d'Armagnac,Aquitaine,40,Arthez-d'Armagnac,40013,Alambic du domaine d'Ognoas,,propriété du département,,L'alambic en totalité (cad. A 111) : inscription par arrêté du 20 octobre 2006,2006/10/20 : inscrit MH,,19e siècle,,,,,,,,,,,,,,,,,,,
PA33000093,recensement immeubles MH,Aquitaine , Gironde , Saint-Germain-de-la-Rivière,Aquitaine,33,Saint-Germain-de-la-Rivière,33414,Château de La Roque,,propriété d'une personne privée,,Le château avec ses communs et ses dépendances ," les jardins, l'exception des parties clasées (cad. A 82 à 84, 87, 89, 92, 668, 669, 671 à 683) : inscription par arrêté du 28 septembre 2006 - Les jardins, y compris les parcelles boisées, incluant les terrasses, les réseaux et aménagements hydrauliques, le pavillon de l'orangerie et le belvédère (cad. A 89 675 : vivier et jardins d'eau ", 679 : terrasse du logis bas ," 92, 669, 673, 672, 678 : terrasses du château "," 87, 677 : terrasses intermédiaires ", 681 : belvédère du 18e s. ou péristyle , 683 : pavillon du 18e s. ou orangerie , 682 : château d'eau du 19e s. ," 81 à 84, 87, 676, 667 : parties boisées "," 668, 671, 674 : allée) : classement par arrêt du 25 juillet 2007",2006/09/28 : inscrit MH , 2007/07/25 : classé MH,Blaquière Alphonse (architecte) , Laclotte Etienne (architecte) , Duphot Henri (architecte),2e moitié 18e siècle , 4e quart 19e siècle,,,,,,
PA33000092,recensement immeubles MH,Aquitaine , Gironde , Langon,Aquitaine,33,Langon,33227,Eglise Saint-Gervais et Saint-Protais,,propriété de la commune,,L'église en totalité (cad. AC 1) : inscription par arrêté du 21 septembre 2006,2006/09/21 : inscrit MH,Duphot Henri (architecte) , Courau Léo (architecte),4e quart 13e siècle , milieu 19e siècle,,,,,,,,,,,,,,,,,
PA33000091,recensement immeubles MH,Aquitaine , Gironde , Vertheuil,Aquitaine,33,Vertheuil,33545,Château de Beyzac,,propriété d'une société privée,,Le château et son pigeonnier (cad. A 1725) : inscription par arrêté du 18 juillet 2006,2006/07/18 : inscrit MH,,18e siècle , 19e siècle,,,,,,,,,,,,,,,,,,
PA33000090,recensement immeubles MH,Aquitaine , Gironde , Saint-Etienne-de-Lisse,Aquitaine,33,Saint-Etienne-de-Lisse,33396,Habitat fortifié de Niord (château Fombrauge),,propriété d'une société privée,,"Le rempart et l'habitat du premier Age du Fer de l'éperon barré de Niord (cad. A 582 à 584, 587 à 589) : inscription par arrêté du 20 avril 2006",2006/04/20 : inscrit MH,,Protohistoire , Age du fer,,,,,,,,,,,,,,,,,,
PA24000055,recensement immeubles MH,Aquitaine , Dordogne , Saint-Cernin-de-l'Herm,Aquitaine,24,Saint-Cernin-de-l'Herm,24386,Château de Sineuil,,propriété d'une personne privée,,"Le château en totalité, à savoir le logis et les communs qui lui sont attenants (cad. AD 17) : inscription par arrêté du 14 novembre 2006",2006/11/14 : inscrit MH,,2e moitié 16e siècle,,,,,,,,,,,,,,,,,,,
PA24000054,recensement immeubles MH,Aquitaine , Dordogne , Périgueux,Aquitaine,24,Périgueux,24322,Hôtel Brou de Laurière,Georges-Pompidou (avenue) 7,propriété d'une personne privée,,"L'hôtel, ses dépendances et son parc (cad. AY 301, 302) : inscription par arrêté du 4 juillet 2006",2006/07/04 : inscrit MH,Touzin Albert (architecte),1er quart 20e siècle,,,,,,,,,,,,,,,,,,,
PA24000053,recensement immeubles MH,Aquitaine , Dordogne , Lamonzie-Montastruc,Aquitaine,24,Lamonzie-Montastruc,24224,Château de Bellegarde,,propriété d'une personne privée,,"Le château avec ses dépendances, son parc et ses pigeonniers (cad. C 1125, 548 à 554, 557, 558, 562 à 569, 602) : inscription par arrêté du 5 janvier 2006",2006/01/05 : inscrit MH,Drouyn Léo (architecte) , Perdoux Gabriel (architecte),14e siècle , 1er quart 20e siècle,,,,,,,,,,,,,,,,,
PA24000052,recensement immeubles MH,Aquitaine , Dordogne , Les Eyzies-de-Tayac-Sireuil,Aquitaine,24,Eyzies-de-Tayac-Sireuil (Les),24172,Grotte préhistorique de Cournazac,,propriété d'une personne privée,,"La grotte préhistorique, en totalité (cad. C 208, 209, 211) : inscription par arrêté du 20 mars 2006",2006/03/20 : inscrit MH,,Préhistoire,,,,,,,,,,,,,,,,,,,
PA24000051,recensement immeubles MH,Aquitaine , Dordogne , Eymet,Aquitaine,24,Eymet,24167,Château de Pouthet,,propriété d'une personne privée,,"Le château et son domaine à savoir : les communs, les dépendances et l'ancienne métairie, le potager, le parc avec son allée de cèdres, la serre, le vivier et l'aqueduc d'irrigation, en totalité (cad. ZD 82, 81, lieudit Pouthet ouest) : inscription par arrêté du 23 juin 2006",2006/06/23 : inscrit MH,,18e siècle , 19e siècle,,,,,,,,,,,,,,,,,,
PA64000070,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Ustaritz,Aquitaine,64,Ustaritz,64547,Maison Mokopeïta,Croix-du-Bourg (place de la),propriété d'une personne privée,,"La maison (cad. AN 41) avec son jardin en terrasse (cad. AN 42) , en totalité : inscription par arrêté du 31 décembre 2008",2008/12/31 : inscrit MH,Trébuchet André (peintre),17e siècle , 2e quart 20e siècle,,,,,,,,,,,,,,,,,,
PA64000069,recensement immeubles MH,Aquitaine , Pyrénées-Atlantiques , Espès-Undurein,Aquitaine,64,Espès-Undurein,64214,Eglise Saint-Martin-d'Espès,,propriété de la commune,,L'église en totalité (cad. ZD 176) : inscription par arrêté du 26 novembre 2008,2008/11/26 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA47000078,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Villeneuve-sur-Lot,Aquitaine,47,Villeneuve-sur-Lot,47323,Théâtre municipal Georges Leygues,République (boulevard de la) 2,propriété de la commune,,"Le théâtre en totalité, avec le parvis et ses bornes (cad. HM 323) : inscription par arrêté du 12 septembre 2008",2008/09/12 : inscrit MH,Tronchet Guillaume (architecte),2e quart 20e siècle,,,,,,,,,,,,,,,,,,,
PA47000077,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Nérac,Aquitaine,47,Nérac,47195,"Ancienne mairerie ou maison commune, ancien hôtel de ville",Ecole (rue de l'),propriété de la commune,,L'ancienne mairerie en totalité (cad. AC 988) : inscription par arrêté du 12 septembre 2008,2008/09/12 : inscrit MH,,13e siècle , 1ère moitié 17e siècle,,,,,,,,,,,,,,,,,,
PA47000076,recensement immeubles MH,Aquitaine , Lot-et-Garonne , Damazan,Aquitaine,47,Damazan,47078,Château de Muges,,propriété d'une société privée,,Le logis avec les communs en retour d'équerre et leur cour intérieure , l'ancienne orangerie , le parc paysager avec ses aménagements hydrauliques et les tombes familiales qu'il contient (cad. ZK 120p) , le pigeonnier du commun oriental (cad. ZK 119) : inscription par arrêté du 8 décembre 2008,2008/12/08 : inscrit MH,Mollié André (architecte),2e moitié 18e siècle,,,,,,,,,,,,,,,,
