Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
GARIBALDI;27/02/2016;14H00;17H00;ENVIRONNEMENT;ANIMATION;ADEN - ASSOCIATION DE DEFENSE DE L'ENVIRONNEMENT NICOIS
GARIBALDI;27/02/2016;14H00;18H00;ACTIVITE BIEN ETRE;COURS;LES COULEURS DU CIEL ART THERAPIE ET YOGA
GARIBALDI;27/02/2016;14H00;15H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;27/02/2016;14H00;15H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;27/02/2016;14H00;17H00;COURS DE LANGUE;ASSEMBLEE GENERALE;MANABI
GARIBALDI;27/02/2016;15H00;17H00;CULTURE;CONFERENCE;ACFI - ASSOCIATION CULTURELLE FRANCO ITALIENNE
GARIBALDI;27/02/2016;19H00;23H00;LOISIRS;SPECTACLE;COUNTA BLABLA
LIBERATION;27/02/2016;10H00;12H00;LOISIRS;COURS;ASM - ARTS SACRES DU MONDE
LIBERATION;27/02/2016;13H00;15H00;LOISIRS;COURS;ASM - ARTS SACRES DU MONDE
LIBERATION;27/02/2016;16H00;18H00;ACTIVITE BIEN ETRE;ATELIER;LA VOIE ZEN GESTION DU STRESS
NICE-CENTRE;22/02/2016;15H00;18H00;COURS DE LANGUE;COURS;FRANCE GRANDE BRETAGNE
NICE-CENTRE;22/02/2016;18H00;21H00;ENSEIGNEMENT;COURS;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-CENTRE;22/02/2016;18H00;19H00;ACTIVITE BIEN ETRE;COURS;VAYOGA-CULTURE ET YOGA
NICE-CENTRE;22/02/2016;19H00;20H00;THEATRE;COURS;LE PETIT THEATRE DE LAURE
NICE-CENTRE;22/02/2016;19H00;21H00;ENSEIGNEMENT;REUNION;JCEMN - JEUNE CHAMBRE ECONOMIQUE METROPOLE NICOISE
NICE-CENTRE;22/02/2016;19H00;21H00;SANTE;REUNION;FFPP PACA - FEDERATION FRANCAISE DES PSYCHOLOGUES ET DE PSYCHOLOGIE
NICE-CENTRE;23/02/2016;10H00;17H00;COURS DE LANGUE;COURS;FRANCE GRANDE BRETAGNE
NICE-CENTRE;23/02/2016;18H00;21H00;EMPLOI;FORMATION;APPASCAM ASS. PROMOTION ET PROFESSIONALISATION DE L'ANIMATION SPORTIVE ET CULTURELLE DANS LES A.M.
NICE-CENTRE;23/02/2016;18H00;20H00;CITOYENNETE;REUNION;LDH - LIGUE DES DROITS DE L'HOMME
NICE-CENTRE;24/02/2016;10H00;13H00;SOCIAL;REUNION;CHRYSALIDES
NICE-CENTRE;24/02/2016;13H00;19H00;SOCIAL;REUNION;CHRYSALIDES
NICE-CENTRE;24/02/2016;13H00;17H00;SOCIAL;REUNION;CHRYSALIDES
NICE-CENTRE;24/02/2016;13H00;19H00;SOCIAL;PERMANENCE;CHRYSALIDES
NICE-CENTRE;24/02/2016;13H00;16H00;HANDICAP;REUNION;SESSAD LES NOISETIERS
NICE-CENTRE;24/02/2016;17H00;19H00;ACTIVITE BIEN ETRE;COURS;SHANTI-YOGA
NICE-CENTRE;24/02/2016;18H00;21H00;LOISIRS;REUNION;NIKAIA SOLEX
NICE-CENTRE;24/02/2016;18H00;20H00;SANTE;REUNION;OA - OUTRE-MANGEURS ANONYMES
NICE-CENTRE;24/02/2016;19H00;21H00;CITOYENNETE;REUNION;ATTAC06 - ASSOCIATION POUR UNE TAXATION DES TRANSACTIONS FINANCIERES POUR L'AIDE AUX CITOYENS 06
NICE-CENTRE;25/02/2016;17H00;19H00;CULTURE;COURS;"ASSOCIATION NICOISE ""CHINE HORIZON"""
NICE-CENTRE;25/02/2016;18H00;21H00;CITOYENNETE;REUNION;CNR - COMITE POUR UNE NOUVELLE RESISTANCE 
NICE-CENTRE;25/02/2016;18H00;19H00;CULTURE;COURS;ACADEMIA NISSARDA
NICE-CENTRE;25/02/2016;18H00;19H00;CULTURE;COURS;ACADEMIA NISSARDA
NICE-CENTRE;26/02/2016;09H00;11H00;COURS DE LANGUE;COURS;CFLEC CENTRE DE FORMATION LANGUES ET CIVILISATIONS 
NICE-CENTRE;26/02/2016;10H00;13H00;CULTURE;REUNION;ARTE FRANCE RUSSIE
NICE-CENTRE;26/02/2016;14H00;16H00;COURS DE LANGUE;COURS;CFLEC CENTRE DE FORMATION LANGUES ET CIVILISATIONS 
NICE-CENTRE;26/02/2016;16H00;18H00;COURS DE LANGUE;COURS;CFLEC CENTRE DE FORMATION LANGUES ET CIVILISATIONS 
NICE-CENTRE;26/02/2016;18H00;20H00;CULTURE;COURS;OKINAWA
NICE-CENTRE;26/02/2016;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
NICE-CENTRE;26/02/2016;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
NICE-CENTRE;26/02/2016;18H00;21H00;THEATRE;COURS;COUR ET JARDIN
NICE-CENTRE;26/02/2016;18H00;21H00;THEATRE;COURS;LE QUADRANT MAGIQUE
NICE-CENTRE;26/02/2016;19H00;21H00;ENSEIGNEMENT;REUNION;AMICALE DES POLONAIS NICE - COTE D'AZUR
