Code,Communes,taux com. - taxe fonc. / prop. bâties - 2014 (%),taux com. - taxe fonc. / prop. non bâties - 2014 (%),produit com. - taxe fonc. / prop. non bâties - 2014 (euros)
33494,Salaunes,"11,3","27,7",9680
33495,Salignac,16,40,17994
33496,Sallebœuf,"18,2","60,1",34558
33498,Salles,"29,9","52,2",99227
33499,Les Salles-de-Castillon,"11,4","37,9",13466
33500,Samonac,"18,4","45,7",12853
33501,Saucats,"18,6","42,7",45617
33502,Saugon,22,"63,4",9555
33503,Saumos,"13,1","30,2",13623
33504,Sauternes,"16,7",65,64246
33505,La Sauve,"19,8","51,1",36995
33506,Sauveterre-de-Guyenne,"16,8","61,9",86629
33507,Sauviac,"14,4",66,9057
33508,Savignac,"17,6","61,9",23137
33509,Savignac-de-l'Isle,"15,6","51,2",7805
33510,Semens,"15,1","59,4",12097
33511,Sendets,"9,3","27,5",4556
33512,Sigalens,11,"39,8",14432
33513,Sillas,"19,1","48,5",5874
33514,Soulac-sur-Mer,"39,5","98,4",88896
33515,Soulignac,"6,7","32,5",20158
33516,Soussac,"20,8","63,8",24800
33517,Soussans,"14,9","36,3",100797
33518,Tabanac,14,"45,9",7770
33519,Le Taillan-Médoc,"27,8","65,5",54121
33520,Taillecavat,"9,5","43,6",14659
33521,Talais,"25,9","73,2",38042
33522,Talence,"31,7","55,7",49044
33523,Targon,"14,1","50,7",57096
33524,Tarnès,"18,7",44,2999
33525,Tauriac,"26,8","58,9",36695
33526,Tayac,"6,8","37,6",8223
33527,Le Teich,"34,6","62,3",42421
33528,Le Temple,"13,7",19,8016
33529,La Teste-de-Buch,"22,8","58,3",271850
33530,Teuillac,"21,6","51,3",20994
33531,Tizac-de-Curton,"15,1","42,5",8630
33532,Tizac-de-Lapouyade,"15,1",27,3837
33533,Toulenne,"22,7",84,21714
33534,Le Tourne,"20,9","38,2",7860
33535,Tresses,"16,4","39,4",22303
33536,Le Tuzan,"24,7","45,2",5113
33537,Uzeste,"14,4","42,9",14752
33538,Valeyrac,"15,4",46,46096
33539,Vayres,"21,8","33,3",30401
33540,Vendays-Montalivet,"14,4","37,3",46430
33541,Vensac,17,"45,2",26107
33542,Vérac,"23,3","40,3",13344
33543,Verdelais,21,"72,9",25520
33544,Le Verdon-sur-Mer,"17,4","75,5",29258
33545,Vertheuil,"22,2","44,4",51890
33546,Vignonet,"18,3","42,4",32706
33547,Villandraut,"19,4",44,7755
33548,Villegouge,"27,2","67,5",46234
33549,Villenave-de-Rions,"19,4","66,8",9790
33550,Villenave-d'Ornon,"30,2","82,8",160833
33551,Villeneuve,"24,8","65,7",20120
33552,Virelade,"26,7","62,6",22318
33553,Virsac,"8,4","32,1",4328
33554,Yvrac,"11,7","41,7",24574
33555,Marcheprime,"31,6",66,23960
