idENT_NCA;NOM;SOUS_TYPE;CODE_INSEE;TYPE;geometry
06088AL05282A;MATERNELLE BISCHOFFSHEIM;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29230321, 43.70619503]}
06088AT02535A;MATERNELLE JEAN MACE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28185882, 43.71916957]}
06088AA11331B;MATERNELLE NIKAIA;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27270975, 43.69651368]}
06088AG053928BISB;MATERNELLE ALAIN PEGLION;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29851538, 43.69109152]}
06088AG04625B;ELEMENTAIRE REGINA COELI;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26681161, 43.70993592]}
06088AC034172A0;ECOLE ABC SCHOOL;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29261805, 43.69574858]}
06088AF061617A;ELEMENTAIRE II SAINT BARTHELEMY;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25480077, 43.71596365]}
06088AS09652B;ELEMENTAIRE I BOIS DE BOULOGNE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.20312398, 43.67315981]}
06088AB09573A;ELEMENTAIRE I SAINT ROCH;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29154151, 43.71300932]}
06088AP137515A;ELEMENTAIRE PASTEUR;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28306622, 43.72177006]}
06088AR06601A;ELEMENTAIRE I ROTHSCHILD;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27369945, 43.7030541]}
06088AF061617B;ELEMENTAIRE I SAINT BARTHELEMY;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25435079, 43.71566738]}
06088AT02533A;ELEMENTAIRE I JEAN MACE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28241101, 43.71900193]}
06088AM022013A;ELEMENTAIRE CHATEAU;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.27845219, 43.69632398]}
06088AL051726A;ELEMENTAIRE SAINT PIERRE D'ARENE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.24596378, 43.69291695]}
06088AS0836126A;ELEMENTAIRE CAUCADE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21121877, 43.67862271]}
06088AB100616A;ELEMENTAIRE CASSINI;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.302553, 43.72053804]}
06088AR0341148A;ELEMENTAIRE AIRE ST MICHEL;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26939624, 43.74442192]}
06088AT045177B;ELEMENTAIRE RENE ARZIARI;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28380868, 43.71479942]}
06088AG108924A;MATERNELLE SOURGENTINE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29392679, 43.70532663]}
06088AL007713A0;GROUPE SCOLAIRE RONCHESE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26864604, 43.70200783]}
06088AB088060A0;GROUPE SCOLAIRE VON DERWIES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26191254, 43.71645688]}
06088AT033547A0;GROUPE SCOLAIRE SAINT ROMAN DE BELLET;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21468224, 43.74292452]}
06088AC173873A0;GROUPE SCOLAIRE CORNICHE FLEURIE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.20836877, 43.68581179]}
06088AL051726A0;GROUPE SCOLAIRE SAINT PIERRE D'ARENE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2457235, 43.69308687]}
06088AC1793156A0;GROUPE SCOLAIRE GENETS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.22951784, 43.71446282]}
06088AA106735A0;GROUPE SCOLAIRE AUBER;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26135864, 43.70311366]}
06088AC2002167A0;GROUPE SCOLAIRE SAINT SYLVESTRE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.24658359, 43.7252872]}
06088AB020933A0;GROUPE SCOLAIRE PIERRE MERLE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28651152, 43.70132323]}
06088AP09906A0;GROUPE SCOLAIRE RISSO;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28458118, 43.70741702]}
06088AB08581A0;GROUPE SCOLAIRE BORNALA;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.23780104, 43.69413765]}
06088AS0836114A;MATERNELLE I CAUCADE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21198345, 43.67828323]}
06088AG10341B;MATERNELLE OLIVIERS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25141765, 43.72915577]}
06088AA02646A;MATERNELLE THERESE ROMEO;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.25892149, 43.70867677]}
06088AT045177A;MATERNELLE RENE ARZIARI;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28380868, 43.71479942]}
06088AA114447C;MATERNELLE CAPELINA;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28706649, 43.70664601]}
06088AL0099229B;MATERNELLE FABRON;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.21199986, 43.68710928]}
06088AS0572173A;MATERNELLE SAINT PIERRE DE FERIC;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.23757281, 43.71413299]}
06088AG05065A;MATERNELLE LAURIERS ROSES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.30689422, 43.73952079]}
