Support d'identification,Catégorie,Déchetterie,Date,Heure,Produit,Quantité
24404,PARTICULIER,GENSAC,21/02/2013,09:01:00,NYLON,"1,00"
08144,PARTICULIER,GENSAC,21/02/2013,09:02:00,NYLON,"1,00"
08144,PARTICULIER,GENSAC,21/02/2013,09:02:00,TOUT VENANT ENCOMBRANTS,"1,00"
08144,PARTICULIER,GENSAC,21/02/2013,09:02:00,CARTON,"1,00"
24678,PARTICULIER,GENSAC,21/02/2013,09:03:00,DECHETS VERTS,"1,00"
24678,PARTICULIER,GENSAC,21/02/2013,09:03:00,DMS,"1,00"
06911,PARTICULIER,GENSAC,21/02/2013,09:03:00,DECHETS VERTS,"1,00"
27466,PARTICULIER,GENSAC,21/02/2013,09:32:00,CARTON,"1,00"
08086,PARTICULIER,GENSAC,21/02/2013,09:34:00,TOUT VENANT ENCOMBRANTS,"1,00"
08086,PARTICULIER,GENSAC,21/02/2013,09:34:00,BOUTEILLES VERRES,"1,00"
08086,PARTICULIER,GENSAC,21/02/2013,09:34:00,TOUT VENANT ENCOMBRANTS,"1,00"
08285,PARTICULIER,GENSAC,21/02/2013,10:01:00,TOUT VENANT ENCOMBRANTS,"1,00"
08285,PARTICULIER,GENSAC,21/02/2013,10:01:00,FERRAILLE,"1,00"
08285,PARTICULIER,GENSAC,21/02/2013,10:01:00,NYLON,"1,00"
24434,PARTICULIER,GENSAC,21/02/2013,10:18:00,DECHETS VERTS,"1,00"
24434,PARTICULIER,GENSAC,21/02/2013,10:18:00,TOUT VENANT ENCOMBRANTS,"1,00"
24434,PARTICULIER,GENSAC,21/02/2013,10:18:00,CARTON,"1,00"
25175,PARTICULIER,GENSAC,21/02/2013,10:23:00,CARTON,"1,00"
25175,PARTICULIER,GENSAC,21/02/2013,10:23:00,PAPIER,"1,00"
26478,PARTICULIER,GENSAC,21/02/2013,11:05:00,CARTON,"1,00"
26478,PARTICULIER,GENSAC,21/02/2013,11:05:00,PAPIER,"1,00"
06226,PARTICULIER,GENSAC,21/02/2013,11:14:00,FERRAILLE,"1,00"
06226,PARTICULIER,GENSAC,21/02/2013,11:14:00,TOUT VENANT ENCOMBRANTS,"1,00"
06226,PARTICULIER,GENSAC,21/02/2013,11:14:00,BOIS TRAITE,"1,00"
06226,PARTICULIER,GENSAC,21/02/2013,11:14:00,BOUTEILLES VERRES,"1,00"
06927,PARTICULIER,GENSAC,21/02/2013,11:17:00,TEXTILE,"1,00"
06927,PARTICULIER,GENSAC,21/02/2013,11:17:00,PAPIER,"1,00"
06927,PARTICULIER,GENSAC,21/02/2013,11:17:00,CARTON,"1,00"
28307,PARTICULIER,GENSAC,21/02/2013,11:22:00,FERRAILLE,"1,00"
28307,PARTICULIER,GENSAC,21/02/2013,11:22:00,BOIS TRAITE,"1,00"
25106,PROFESSIONNEL,GENSAC,21/02/2013,14:55:00,TOUT VENANT ENCOMBRANTS,"1,00"
25106,PROFESSIONNEL,GENSAC,21/02/2013,14:55:00,DECHETS VERTS,"1,00"
27453,PARTICULIER,GENSAC,21/02/2013,15:30:00,NYLON,"1,00"
27453,PARTICULIER,GENSAC,21/02/2013,15:30:00,CARTON,"1,00"
06926,PARTICULIER,GENSAC,21/02/2013,15:47:00,TOUT VENANT ENCOMBRANTS,"1,00"
06926,PARTICULIER,GENSAC,21/02/2013,15:47:00,BOUTEILLES VERRES,"1,00"
06972,PARTICULIER,RIMONS,21/02/2013,14:21:00,CARTON,"1,00"
00100,PARTICULIER,RIMONS,21/02/2013,14:21:00,CARTON,"1,00"
07644,PARTICULIER,RIMONS,21/02/2013,14:23:00,CARTON,"1,00"
24904,PARTICULIER,RIMONS,21/02/2013,14:37:00,CARTON,"1,00"
05561,PARTICULIER,RIMONS,21/02/2013,14:57:00,CARTON,"1,00"
25143,PARTICULIER,RIMONS,21/02/2013,15:00:00,CARTON,"1,00"
05034,PARTICULIER,RIMONS,21/02/2013,15:02:00,CARTON,"1,00"
25115,PARTICULIER,RIMONS,21/02/2013,15:39:00,CARTON,"1,00"
